               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12595,             0.25665,            0.029945,           0.0019069,            0.010264,          0.00099054,          9.9054e-05,             0.13427,             0.13324,            0.030092,                   0,                   0,                 0.1
                   1,             0.12583,              0.2512,            0.029944,           0.0016963,           0.0095968,          0.00090471,           0.0002245,             0.13169,             0.14885,            0.029998,          9.9753e-05,          9.9753e-05,              0.0991
                   2,             0.12488,             0.26947,            0.030109,           0.0020962,            0.011416,           0.0010989,          0.00021083,             0.13014,             0.15752,            0.029889,          0.00019901,          0.00019901,            0.098199
                   3,             0.12482,             0.28683,            0.030052,           0.0022876,            0.012569,           0.0012174,          0.00029699,             0.12786,             0.16877,            0.029814,          0.00029777,          0.00029777,            0.097298
                   4,             0.12324,             0.25593,            0.029842,           0.0031016,            0.017156,           0.0016594,          0.00044192,             0.12519,             0.18124,             0.02974,          0.00039604,          0.00039604,            0.096396
                   5,             0.12295,             0.28556,            0.029521,           0.0047144,            0.026352,           0.0025699,          0.00066897,             0.12246,             0.19167,            0.029677,          0.00049381,          0.00049381,            0.095494
                   6,              0.1215,             0.29759,            0.029792,           0.0074036,            0.041308,           0.0041942,           0.0010253,             0.12012,             0.19812,            0.029653,          0.00059109,          0.00059109,            0.094591
                   7,             0.12073,             0.26781,             0.02907,            0.015432,            0.081899,           0.0099966,           0.0024501,             0.11794,             0.20105,            0.029441,          0.00068787,          0.00068787,            0.093688
                   8,             0.11952,             0.29239,            0.029155,            0.035777,            0.095207,            0.022359,           0.0052918,             0.11627,             0.20065,            0.029229,          0.00078416,          0.00078416,            0.092784
                   9,             0.11668,             0.30394,            0.028927,            0.033344,            0.094025,            0.019793,           0.0046322,             0.11466,             0.20816,            0.029003,          0.00087995,          0.00087995,             0.09188
                  10,             0.11659,             0.28911,            0.028779,             0.11386,            0.061661,            0.050662,            0.011657,             0.11365,             0.25003,            0.028746,          0.00097525,          0.00097525,            0.090975
                  11,              0.1135,             0.28088,            0.028061,              0.1263,            0.060954,            0.051779,            0.012221,             0.11351,             0.24644,             0.02868,           0.0010701,           0.0010701,             0.09007
                  12,             0.11462,             0.28775,            0.028072,             0.10247,            0.084242,            0.058189,             0.01311,             0.11344,              0.2947,            0.028074,           0.0011644,           0.0011644,            0.089164
                  13,             0.11304,             0.24941,            0.027369,            0.081661,             0.11465,            0.044309,            0.010228,             0.11271,             0.25907,            0.027485,           0.0012582,           0.0012582,            0.088258
                  14,             0.11249,             0.26816,            0.027035,            0.058181,             0.21698,            0.049144,            0.011765,             0.11202,             0.32114,            0.027585,           0.0013515,           0.0013515,            0.087351
                  15,             0.11117,             0.26041,            0.026129,            0.049766,             0.20515,            0.038348,           0.0092689,             0.11084,             0.34415,            0.027937,           0.0014443,           0.0014443,            0.086444
                  16,             0.10752,             0.25745,            0.025533,            0.034729,             0.13785,            0.032001,           0.0075693,             0.10971,             0.35067,            0.028697,           0.0015366,           0.0015366,            0.085537
                  17,             0.10467,             0.27131,            0.025179,            0.086436,            0.099439,            0.043054,            0.010033,             0.10869,              0.3841,            0.029562,           0.0016285,           0.0016285,            0.084628
                  18,             0.10265,             0.29013,            0.025653,            0.086393,            0.093341,            0.062026,            0.015564,             0.10565,             0.48463,            0.030205,           0.0017198,           0.0017198,             0.08372
                  19,            0.099674,             0.30561,            0.024884,            0.040311,            0.079472,            0.023191,           0.0057078,             0.11283,             0.48718,            0.030745,           0.0018107,           0.0018107,            0.082811
                  20,              0.1006,             0.25948,            0.025312,            0.049142,            0.085253,            0.033072,            0.008553,             0.10614,              0.3873,            0.030181,            0.001901,            0.001901,            0.081901
                  21,            0.096246,             0.29284,            0.025319,            0.056166,             0.15666,            0.041479,            0.010016,             0.10696,             0.67129,            0.030251,           0.0019909,           0.0019909,            0.080991
                  22,            0.092636,             0.27269,            0.024588,            0.062536,              0.1532,            0.046408,            0.010989,             0.10603,             0.63413,            0.029951,           0.0020802,           0.0020802,             0.08008
                  23,            0.094808,             0.28739,            0.024227,            0.045118,             0.25405,            0.042557,            0.011775,             0.10034,             0.29349,            0.028666,           0.0021691,           0.0021691,            0.079169
                  24,            0.094269,             0.33261,            0.024776,            0.055413,             0.15438,            0.035619,           0.0077351,             0.10811,              0.6607,            0.029112,           0.0022574,           0.0022574,            0.078257
                  25,            0.095969,             0.29268,            0.023549,            0.060856,             0.23926,            0.041785,            0.010084,             0.10439,             0.43388,            0.028582,           0.0023453,           0.0023453,            0.077345
                  26,            0.093219,             0.26372,             0.02324,            0.056209,             0.22392,            0.062089,            0.013841,             0.10292,             0.48846,            0.028727,           0.0024327,           0.0024327,            0.076433
                  27,            0.087119,             0.29352,            0.023954,              0.6131,             0.14747,             0.10062,            0.018324,             0.10251,             0.51533,            0.028435,           0.0025196,           0.0025196,             0.07552
                  28,             0.08271,             0.23493,            0.023538,            0.033804,            0.092041,            0.012231,           0.0030337,             0.10949,              0.4407,            0.028926,            0.002606,            0.002606,            0.074606
                  29,             0.10032,             0.29959,            0.023996,             0.15783,             0.17742,             0.14432,            0.028399,            0.095118,              0.4573,            0.028085,           0.0026919,           0.0026919,            0.073692
                  30,            0.089758,             0.31141,            0.023353,             0.13265,             0.38704,             0.14264,            0.031479,             0.10835,             0.51557,            0.027108,           0.0027773,           0.0027773,            0.072777
                  31,            0.092364,              0.2776,            0.023479,             0.12178,             0.24793,            0.059525,            0.015837,            0.097627,             0.46099,            0.026714,           0.0028622,           0.0028622,            0.071862
                  32,             0.08795,             0.28411,            0.022866,            0.099457,             0.23668,            0.062913,            0.016943,              0.1018,             0.46387,            0.026732,           0.0029466,           0.0029466,            0.070947
                  33,            0.087297,             0.32672,            0.023216,            0.083033,             0.19698,            0.071226,            0.016053,             0.10748,             0.68771,            0.026391,           0.0030305,           0.0030305,             0.07003
                  34,            0.090224,             0.29811,            0.022672,            0.051458,             0.23479,            0.039715,           0.0095228,            0.098644,             0.40085,            0.026006,           0.0031139,           0.0031139,            0.069114
                  35,            0.091651,             0.38294,            0.022165,            0.098682,             0.32242,             0.10265,            0.021329,             0.10717,             0.51893,            0.025432,           0.0031968,           0.0031968,            0.068197
                  36,            0.087421,             0.29167,            0.022383,             0.11957,             0.43162,             0.11514,            0.032629,             0.09442,             0.32358,            0.024968,           0.0032792,           0.0032792,            0.067279
                  37,            0.090758,             0.30184,            0.021769,             0.13268,             0.36088,              0.1169,             0.03416,             0.10125,             0.60625,            0.025414,           0.0033612,           0.0033612,            0.066361
                  38,            0.084611,             0.28351,            0.021968,            0.093367,             0.39902,            0.074445,             0.02163,             0.10243,             0.34115,            0.023754,           0.0034426,           0.0034426,            0.065443
                  39,            0.087823,             0.28586,            0.021309,             0.22452,              0.2062,             0.13926,            0.032359,              0.1018,             0.55006,            0.024787,           0.0035236,           0.0035236,            0.064524
                  40,            0.081081,             0.29956,            0.021606,             0.20597,             0.20698,             0.14686,            0.035068,             0.10105,              0.5332,            0.024574,            0.003604,            0.003604,            0.063604
                  41,            0.082867,             0.32148,            0.021096,             0.17409,              0.4665,             0.15646,            0.045123,            0.095505,             0.41344,            0.023544,            0.003684,            0.003684,            0.062684
                  42,            0.083987,             0.29056,            0.020686,             0.07978,             0.32726,            0.077042,            0.018857,             0.10555,             0.50404,            0.023609,           0.0037634,           0.0037634,            0.061763
                  43,            0.090872,             0.27013,            0.020454,             0.21908,             0.56296,              0.2714,            0.088048,            0.087603,             0.35644,            0.023016,           0.0038424,           0.0038424,            0.060842
                  44,            0.080162,             0.32046,            0.019955,             0.12396,             0.36749,             0.11489,             0.02604,             0.10528,             0.66955,            0.023456,           0.0039208,           0.0039208,            0.059921
                  45,            0.084996,             0.32047,            0.019992,             0.13376,             0.36128,              0.1087,            0.028951,            0.088616,             0.30865,            0.022989,           0.0039988,           0.0039988,            0.058999
                  46,            0.085895,             0.36425,            0.020642,               0.116,             0.30732,            0.084778,            0.026906,            0.088329,             0.28671,            0.022502,           0.0040763,           0.0040763,            0.058076
                  47,             0.07582,             0.30479,            0.019582,             0.14935,             0.34978,             0.11583,            0.034026,             0.09785,             0.57673,            0.022285,           0.0041533,           0.0041533,            0.057153
                  48,            0.083526,             0.30367,            0.019912,             0.12646,             0.48208,             0.13978,            0.032961,             0.09632,             0.33924,            0.020975,           0.0042298,           0.0042298,             0.05623
                  49,            0.086707,             0.29928,             0.02007,              0.3176,             0.28499,             0.20123,            0.054111,            0.090779,             0.48226,            0.020859,           0.0043058,           0.0043058,            0.055306
                  50,            0.078253,             0.31888,            0.019384,              0.1509,             0.52025,             0.15688,            0.041968,            0.091833,             0.47299,            0.020219,           0.0043812,           0.0043812,            0.054381
                  51,            0.082372,             0.27815,            0.019439,             0.21474,             0.45233,             0.24232,            0.077167,            0.085136,             0.35547,            0.020931,           0.0044563,           0.0044563,            0.053456
                  52,            0.074055,             0.25878,            0.018387,             0.14918,             0.54455,             0.16404,            0.050788,             0.10044,              0.5746,            0.021138,           0.0045308,           0.0045308,            0.052531
                  53,            0.087043,             0.26121,            0.018553,             0.18902,             0.50206,              0.2101,            0.051796,            0.090393,             0.32923,            0.020603,           0.0046048,           0.0046048,            0.051605
                  54,            0.087342,             0.30835,            0.019238,             0.24382,             0.54526,             0.27987,             0.07961,            0.088714,             0.61222,            0.020226,           0.0046783,           0.0046783,            0.050678
                  55,            0.079764,             0.30351,            0.018248,             0.17693,             0.58133,             0.17181,            0.049938,            0.089602,             0.30765,            0.020225,           0.0047513,           0.0047513,            0.049751
                  56,             0.08075,             0.31154,            0.017936,             0.17698,             0.59507,             0.26224,            0.078542,            0.084123,              0.5035,            0.020627,           0.0048238,           0.0048238,            0.048824
                  57,            0.071527,             0.27187,            0.018007,             0.15651,             0.54493,             0.16203,            0.043461,            0.091479,             0.50964,            0.020144,           0.0048959,           0.0048959,            0.047896
                  58,            0.080055,             0.28165,            0.017542,             0.18742,             0.56056,              0.2422,            0.075526,            0.086488,             0.44855,            0.019827,           0.0049674,           0.0049674,            0.046967
                  59,             0.08008,             0.28419,             0.01825,             0.18315,             0.50767,              0.1975,            0.063772,            0.085794,             0.45417,            0.021027,           0.0050385,           0.0050385,            0.046038
                  60,            0.076985,             0.30184,            0.018216,             0.23603,             0.53461,             0.28701,            0.086709,            0.085283,             0.62148,            0.021141,            0.005109,            0.005109,            0.045109
                  61,            0.074379,             0.29061,            0.017147,             0.22881,             0.54408,             0.17889,             0.05956,            0.080578,             0.32161,            0.025647,           0.0051791,           0.0051791,            0.044179
                  62,            0.076283,             0.35199,            0.017686,             0.72625,             0.25899,              0.3141,            0.091608,             0.08228,             0.57028,            0.024373,           0.0052486,           0.0052486,            0.043249
                  63,            0.071304,             0.28138,            0.016861,              0.1525,             0.52255,              0.1317,             0.04003,            0.086155,             0.49402,            0.020051,           0.0053177,           0.0053177,            0.042318
                  64,            0.074003,             0.27794,            0.016498,             0.17292,             0.46997,              0.2111,            0.060166,            0.092533,              0.5452,             0.01963,           0.0053862,           0.0053862,            0.041386
                  65,            0.081711,             0.26947,            0.016567,             0.18198,               0.574,             0.21158,            0.071689,            0.079976,             0.30685,            0.020109,           0.0054543,           0.0054543,            0.040454
                  66,            0.071241,             0.27803,            0.015695,             0.23854,             0.38388,             0.25829,            0.087846,            0.086551,             0.47532,             0.02128,           0.0055219,           0.0055219,            0.039522
                  67,            0.074047,               0.262,            0.016268,             0.18183,             0.50676,             0.14612,            0.047914,            0.085784,             0.41527,            0.019506,            0.005589,            0.005589,            0.038589
                  68,            0.079474,              0.2401,             0.01618,             0.21057,             0.61522,             0.26486,            0.086208,            0.081597,             0.31832,             0.02156,           0.0056556,           0.0056556,            0.037656
                  69,            0.067128,             0.25876,             0.01469,              0.2436,             0.42955,             0.22498,            0.070247,            0.079709,             0.41882,            0.018907,           0.0057217,           0.0057217,            0.036722
